err_missing_core	404	GET	nosuchcore/select?q=*:*&wt=json	
err_update_bad_json	400	POST	content/update?commit=true&wt=json	{not json
err_select_delete	200	DELETE	content/select?q=*:*&wt=json	
err_update_put	400	PUT	content/update?wt=json	[]
update_unknown_field_schemaless	200	POST	schemaless_probe/update?commit=true	[{"id":"probe_unknown_field","body":"probe","nosuchfield":"x"}]	http://localhost:8983/solr
update_unknown_field_strict	400	POST	content/update?commit=true	[{"id":"probe_unknown_field","body":"probe","nosuchfield":"x"}]	http://localhost:8984/solr
facet_non_docvalues_text	200	GET	content/select?q=*:*&rows=0&facet=true&facet.field=body&wt=json	
facet_non_docvalues_text_enum	200	GET	content/select?q=*:*&rows=0&facet=true&facet.field=body&facet.method=enum&wt=json	
facet_unknown_field	400	GET	content/select?q=*:*&rows=0&facet=true&facet.field=nosuchfield&wt=json	
facet_range_numeric	200	GET	facets/select?q=*:*&rows=0&facet=true&facet.range=views&facet.range.start=0&facet.range.end=40&facet.range.gap=10&wt=json	
facet_range_date	200	GET	facets/select?q=*:*&rows=0&facet=true&facet.range=created&facet.range.start=2020-01-01T00:00:00Z&facet.range.end=2020-01-06T00:00:00Z&facet.range.gap=%2B1DAY&wt=json	
facet_range_json_nl_map	200	GET	facets/select?q=*:*&rows=0&facet=true&facet.range=views&facet.range.start=0&facet.range.end=40&facet.range.gap=10&json.nl=map&wt=json	
facet_stored_only_field	200	GET	facets/select?q=*:*&rows=0&facet=true&facet.field=note&wt=json	
keyorder_range_wide_map	200	GET	keyorder/select?q=*:*&rows=0&facet=true&facet.range=views&facet.range.start=0&facet.range.end=200&facet.range.gap=10&json.nl=map&wt=json		http://localhost:8986/solr
keyorder_facet_field_map	200	GET	keyorder/select?q=*:*&rows=0&facet=true&facet.field=tag&json.nl=map&wt=json		http://localhost:8986/solr
keyorder_facet_field_map_index	200	GET	keyorder/select?q=*:*&rows=0&facet=true&facet.field=tag&facet.sort=index&json.nl=map&wt=json		http://localhost:8986/solr
facet_field_numeric_all	200	GET	facets/select?q=*:*&rows=0&facet=true&facet.field=views&wt=json		http://localhost:8985/solr
facet_field_numeric_subset	200	GET	facets/select?q=id:r1&rows=0&facet=true&facet.field=views&wt=json		http://localhost:8985/solr
facet_field_date_all	200	GET	facets/select?q=*:*&rows=0&facet=true&facet.field=created&wt=json		http://localhost:8985/solr
facet_field_date_subset	200	GET	facets/select?q=id:r1&rows=0&facet=true&facet.field=created&wt=json		http://localhost:8985/solr
facet_field_numeric_sort_index	200	GET	facets/select?q=id:r1&rows=0&facet=true&facet.field=views&facet.sort=index&wt=json		http://localhost:8985/solr
facet_field_numeric_sort_count	200	GET	facets/select?q=id:r1&rows=0&facet=true&facet.field=views&facet.sort=count&wt=json		http://localhost:8985/solr
facet_field_numeric_sort_index_all	200	GET	facets/select?q=*:*&rows=0&facet=true&facet.field=views&facet.sort=index&wt=json		http://localhost:8985/solr
facet_field_date_sort_index_all	200	GET	facets/select?q=*:*&rows=0&facet=true&facet.field=created&facet.sort=index&wt=json		http://localhost:8985/solr
facet_field_numeric_mincount_one	200	GET	facets/select?q=id:r1&rows=0&facet=true&facet.field=views&facet.mincount=1&wt=json		http://localhost:8985/solr
facet_field_numeric_json_nl_map	200	GET	facets/select?q=id:r1&rows=0&facet=true&facet.field=views&json.nl=map&wt=json		http://localhost:8985/solr
facet_field_string_control_subset	200	GET	facets/select?q=id:r1&rows=0&facet=true&facet.field=id&wt=json		http://localhost:8985/solr
sort_clause_space_separated	400	GET	sortdebt/select?q=*:*&sort=id+asc+category+desc&wt=json		http://localhost:8987/solr
sort_clause_trailing_garbage	400	GET	sortdebt/select?q=*:*&sort=id+asc+garbage&wt=json		http://localhost:8987/solr
sort_clause_trailing_valid_field	400	GET	sortdebt/select?q=*:*&sort=id+asc+category&wt=json		http://localhost:8987/solr
sort_clause_trailing_comma	200	GET	sortdebt/select?q=*:*&sort=id+asc,&wt=json		http://localhost:8987/solr
sort_clause_leading_comma	400	GET	sortdebt/select?q=*:*&sort=,id+asc&wt=json		http://localhost:8987/solr
sort_clause_double_comma	400	GET	sortdebt/select?q=*:*&sort=id+asc,,category+desc&wt=json		http://localhost:8987/solr
sort_clause_empty	200	GET	sortdebt/select?q=*:*&sort=&wt=json		http://localhost:8987/solr
sort_clause_space_before_comma	200	GET	sortdebt/select?q=*:*&sort=id+asc+,+category+desc&wt=json		http://localhost:8987/solr
sort_clause_space_after_comma	200	GET	sortdebt/select?q=*:*&sort=id+asc,+category+desc&wt=json		http://localhost:8987/solr
err_sort_second_clause_bad_direction	400	GET	sortdebt/select?q=*:*&sort=id+asc,id+sideways&wt=json		http://localhost:8987/solr
err_sort_second_clause_no_direction	400	GET	sortdebt/select?q=*:*&sort=id+asc,category&wt=json		http://localhost:8987/solr
err_sort_leading_whitespace	400	GET	sortdebt/select?q=*:*&sort=%20%20id+sideways&wt=json		http://localhost:8987/solr
sort_string_asc	200	GET	sortdebt/select?q=*:*&sort=category+asc&fl=id,category&wt=json		http://localhost:8987/solr
sort_string_desc	200	GET	sortdebt/select?q=*:*&sort=category+desc&fl=id,category&wt=json		http://localhost:8987/solr
sort_int_asc	200	GET	sortdebt/select?q=*:*&sort=views+asc&fl=id,views&wt=json		http://localhost:8987/solr
sort_int_desc	200	GET	sortdebt/select?q=*:*&sort=views+desc&fl=id,views&wt=json		http://localhost:8987/solr
sort_float_asc	200	GET	sortdebt/select?q=*:*&sort=weight+asc&fl=id,weight&wt=json		http://localhost:8987/solr
sort_float_desc	200	GET	sortdebt/select?q=*:*&sort=weight+desc&fl=id,weight&wt=json		http://localhost:8987/solr
sort_date_asc	200	GET	sortdebt/select?q=*:*&sort=created+asc&fl=id,created&wt=json		http://localhost:8987/solr
sort_date_desc	200	GET	sortdebt/select?q=*:*&sort=created+desc&fl=id,created&wt=json		http://localhost:8987/solr
sort_mv_int_asc	200	GET	sortdebt/select?q=*:*&sort=nums+asc&fl=id,nums&wt=json		http://localhost:8987/solr
sort_mv_int_desc	200	GET	sortdebt/select?q=*:*&sort=nums+desc&fl=id,nums&wt=json		http://localhost:8987/solr
facet_err_query_single	400	GET	facets33/select?q=*:*&rows=0&facet=true&facet.query=views:[bad&wt=json		http://localhost:8988/solr
facet_err_field_single	400	GET	facets33/select?q=*:*&rows=0&facet=true&facet.field=nosuchfield&wt=json		http://localhost:8988/solr
facet_err_range_single	400	GET	facets33/select?q=*:*&rows=0&facet=true&facet.range=tag&facet.range.start=0&facet.range.end=10&facet.range.gap=5&wt=json		http://localhost:8988/solr
facet_err_query_field	400	GET	facets33/select?q=*:*&rows=0&facet=true&facet.query=views:[bad&facet.field=nosuchfield&wt=json		http://localhost:8988/solr
facet_err_query_range	400	GET	facets33/select?q=*:*&rows=0&facet=true&facet.query=views:[bad&facet.range=tag&facet.range.start=0&facet.range.end=10&facet.range.gap=5&wt=json		http://localhost:8988/solr
facet_err_field_range	400	GET	facets33/select?q=*:*&rows=0&facet=true&facet.field=nosuchfield&facet.range=tag&facet.range.start=0&facet.range.end=10&facet.range.gap=5&wt=json		http://localhost:8988/solr
facet_err_all_three	400	GET	facets33/select?q=*:*&rows=0&facet=true&facet.query=views:[bad&facet.field=nosuchfield&facet.range=tag&facet.range.start=0&facet.range.end=10&facet.range.gap=5&wt=json		http://localhost:8988/solr
facet_err_query_vs_unfacetable	400	GET	facets33/select?q=*:*&rows=0&facet=true&facet.query=views:[bad&facet.field=note&wt=json		http://localhost:8988/solr
facet_field_double_all	200	GET	facets33/select?q=*:*&rows=0&facet=true&facet.field=price&wt=json		http://localhost:8988/solr
facet_field_double_subset	200	GET	facets33/select?q=id:r1&rows=0&facet=true&facet.field=price&wt=json		http://localhost:8988/solr
facet_field_double_sort_index_all	200	GET	facets33/select?q=*:*&rows=0&facet=true&facet.field=price&facet.sort=index&wt=json		http://localhost:8988/solr
facet_field_float_all	200	GET	facets33/select?q=*:*&rows=0&facet=true&facet.field=rating&wt=json		http://localhost:8988/solr
facet_field_date_ms_all	200	GET	facets33/select?q=*:*&rows=0&facet=true&facet.field=stamp&wt=json		http://localhost:8988/solr
facet_field_date_ms_subset	200	GET	facets33/select?q=id:r1&rows=0&facet=true&facet.field=stamp&wt=json		http://localhost:8988/solr
facet_field_date_ms_sort_index_all	200	GET	facets33/select?q=*:*&rows=0&facet=true&facet.field=stamp&facet.sort=index&wt=json		http://localhost:8988/solr
facet_missing_with_limit	200	GET	facets33/select?q=*:*&rows=0&facet=true&facet.field=tag&facet.missing=true&facet.limit=1&wt=json		http://localhost:8988/solr
facet_missing_with_mincount_two	200	GET	facets33/select?q=*:*&rows=0&facet=true&facet.field=tag&facet.missing=true&facet.mincount=2&wt=json		http://localhost:8988/solr
facet_missing_with_mincount_three	200	GET	facets33/select?q=*:*&rows=0&facet=true&facet.field=tag&facet.missing=true&facet.mincount=3&wt=json		http://localhost:8988/solr
facet_range_end_not_gap_aligned	200	GET	facets33/select?q=*:*&rows=0&facet=true&facet.range=views&facet.range.start=0&facet.range.end=22&facet.range.gap=10&wt=json		http://localhost:8988/solr
facet_json_nl_arrarr	200	GET	facets33/select?q=*:*&rows=0&facet=true&facet.field=tag&json.nl=arrarr&wt=json		http://localhost:8988/solr
facet_json_nl_arrmap	200	GET	facets33/select?q=*:*&rows=0&facet=true&facet.field=tag&json.nl=arrmap&wt=json		http://localhost:8988/solr
facet_json_nl_map_missing	200	GET	facets33/select?q=*:*&rows=0&facet=true&facet.field=tag&facet.missing=true&json.nl=map&wt=json		http://localhost:8988/solr
update_add_nocommit	200	POST	update9/update?wt=json	[{"id":"u6","body":"pending doc","category":["pending"]}]	http://localhost:8989/solr
update_select_uncommitted	200	GET	update9/select?q=id:u6&wt=json		http://localhost:8989/solr
update_add_commit	200	POST	update9/update?commit=true&wt=json	[{"id":"u7","body":"committed doc","category":["keep"]}]	http://localhost:8989/solr
update_select_committed	200	GET	update9/select?q=id:u7&wt=json		http://localhost:8989/solr
update_overwrite_default	200	POST	update9/update?commit=true&wt=json	[{"id":"u7","body":"replaced body","category":["keep"]}]	http://localhost:8989/solr
update_select_overwritten	200	GET	update9/select?q=id:u7&wt=json		http://localhost:8989/solr
update_overwrite_false	200	POST	update9/update?commit=true&overwrite=false&wt=json	[{"id":"u7","body":"duplicate body","category":["dup"]}]	http://localhost:8989/solr
update_select_overwrite_false	200	GET	update9/select?q=id:u7&wt=json		http://localhost:8989/solr
update_delete_id_obj	200	POST	update9/update?commit=true&wt=json	{"delete":{"id":"u7"}}	http://localhost:8989/solr
update_select_after_delete_id	200	GET	update9/select?q=id:u7&wt=json		http://localhost:8989/solr
update_delete_id_list	200	POST	update9/update?commit=true&wt=json	{"delete":["u1","u4"]}	http://localhost:8989/solr
update_select_after_delete_list	200	GET	update9/select?q=*:*&fl=id&rows=20&sort=id+asc&wt=json		http://localhost:8989/solr
update_delete_query	200	POST	update9/update?commit=true&wt=json	{"delete":{"query":"body:lazy"}}	http://localhost:8989/solr
update_select_after_delete_query	200	GET	update9/select?q=*:*&fl=id&rows=20&sort=id+asc&wt=json		http://localhost:8989/solr
update_mixed_commands	200	POST	update9/update?wt=json	{"add":{"doc":{"id":"u8","body":"mixed add","category":["keep"]}},"delete":{"id":"u6"},"commit":{}}	http://localhost:8989/solr
update_select_after_mixed	200	GET	update9/select?q=*:*&fl=id&rows=20&sort=id+asc&wt=json		http://localhost:8989/solr
update_commitwithin	200	POST	update9/update?commitWithin=500&wt=json	[{"id":"u9","body":"commit within doc","category":["keep"]}]	http://localhost:8989/solr
update_select_commitwithin_visible	200	GET	update9/select?q=id:u9&wt=json		http://localhost:8989/solr
update_softcommit	200	POST	update9/update?softCommit=true&wt=json	[{"id":"u10","body":"soft committed doc","category":["keep"]}]	http://localhost:8989/solr
update_select_softcommit_visible	200	GET	update9/select?q=id:u10&wt=json		http://localhost:8989/solr
update_get	400	GET	update9/update?wt=json		http://localhost:8989/solr
update_get_commit	200	GET	update9/update?commit=true&wt=json		http://localhost:8989/solr
update_unknown_core	404	POST	nosuchcore/update?commit=true&wt=json	[{"id":"x","body":"y"}]	http://localhost:8989/solr
ping_unknown_core	404	GET	nosuchcore/admin/ping?wt=json		http://localhost:8989/solr
ping_unknown_core_delete	405	DELETE	nosuchcore/admin/ping?wt=json		http://localhost:8989/solr
update_single_valued_array	400	POST	update9/update?commit=true&wt=json	[{"id":"u11","title":["one","two"]}]	http://localhost:8989/solr
update_copyfield_single_valued	400	POST	update9/update?commit=true&wt=json	[{"id":"u12","nick":"nn","alias":"aa"}]	http://localhost:8989/solr
update_copyfield_single_ok	200	POST	update9/update?commit=true&wt=json	[{"id":"u13","nick":"solo"}]	http://localhost:8989/solr
update_select_copyfield_dest	200	GET	update9/select?q=id:u13&fl=id,nick,alias&wt=json		http://localhost:8989/solr
update_dynamic_date	200	POST	update9/update?commit=true&wt=json	[{"id":"u14","when_dt":"2021-06-01T12:30:45Z"}]	http://localhost:8989/solr
update_select_dynamic_date	200	GET	update9/select?q=when_dt:%5B2021-01-01T00:00:00Z%20TO%202022-01-01T00:00:00Z%5D&fl=id,when_dt&wt=json		http://localhost:8989/solr
update_single_valued_array_one	200	POST	update9/update?commit=true&wt=json	[{"id":"u15","title":["only"]}]	http://localhost:8989/solr
update_select_single_valued_array_one	200	GET	update9/select?q=id:u15&fl=id,title&wt=json		http://localhost:8989/solr
update_delete_id_missing	200	POST	update9/update?commit=true&wt=json	{"delete":{"id":"nosuch"}}	http://localhost:8989/solr
stats_views	200	GET	stats/select?q=*:*&rows=0&stats=true&stats.field=views&wt=json		http://localhost:8992/solr
stats_multi_fields	200	GET	stats/select?q=*:*&rows=0&stats=true&stats.field=views&stats.field=price&wt=json		http://localhost:8992/solr
stats_zero	200	GET	stats/select?q=id:nosuchdoc&rows=0&stats=true&stats.field=views&wt=json		http://localhost:8992/solr
stats_zero_fq	200	GET	stats/select?q=*:*&fq=id:nosuchdoc&rows=0&stats=true&stats.field=views&wt=json		http://localhost:8992/solr
qrange_int_incl	200	GET	facets/select?q=views:[10+TO+30]&wt=json		http://localhost:8983/solr
qrange_int_incl_endpoints	200	GET	facets/select?q=views:[5+TO+35]&wt=json		http://localhost:8983/solr
qrange_int_excl	200	GET	facets/select?q=views:{5+TO+35}&wt=json		http://localhost:8983/solr
qrange_int_half_open	200	GET	facets/select?q=views:[5+TO+35}&wt=json		http://localhost:8983/solr
qrange_int_star_upper	200	GET	facets/select?q=views:[25+TO+*]&wt=json		http://localhost:8983/solr
qrange_int_float_endpoint	400	GET	facets/select?q=views:[10.5+TO+30]&wt=json		http://localhost:8983/solr
qrange_int_alpha_endpoint	400	GET	facets/select?q=views:[a+TO+b]&wt=json		http://localhost:8983/solr
qterm_int_leading_zero	200	GET	facets/select?q=views:015&wt=json		http://localhost:8983/solr
qwild_int	400	GET	facets/select?q=views:1*&wt=json		http://localhost:8983/solr
qfuzzy_int	200	GET	facets/select?q=views:15~1&wt=json		http://localhost:8983/solr
qrange_date_incl	200	GET	facets/select?q=created:[2020-01-02T00:00:00Z+TO+2020-01-03T00:00:00Z]&wt=json		http://localhost:8983/solr
qrange_date_excl	200	GET	facets/select?q=created:{2020-01-02T00:00:00Z+TO+2020-01-05T00:00:00Z}&wt=json		http://localhost:8983/solr
admin_info_system	200	GET	admin/info/system?wt=json&json.nl=flat	
stats_version_max	200	GET	version99/select?q=*:*&rows=0&stats=true&stats.field=_version_&function=max(_version_)&wt=json		http://localhost:8999/solr
hl_fragsize_zero_whole_field	200	GET	fragsize104/select?q=body:quick&hl=true&hl.fl=body&hl.fragsize=0&wt=json		http://localhost:8995/solr
hl_fragsize_zero_whole_field_method_original	200	GET	fragsize104/select?q=body:quick&hl=true&hl.fl=body&hl.method=original&hl.fragsize=0&wt=json		http://localhost:8995/solr
hl_fragsize_small_truncated	200	GET	fragsize104/select?q=body:quick&hl=true&hl.fl=body&hl.method=original&hl.fragsize=40&wt=json		http://localhost:8995/solr
update_repeated_add_batch	200	POST	update9/update?wt=json	{"add":{"doc":{"id":"r1","body":"first repeated add","title":"alpha"}},"add":{"doc":{"id":"r2","body":"second repeated add","title":"bravo"}},"delete":{"id":"u2"},"commit":{}}	http://localhost:8992/solr
update_select_after_repeated_add_batch	200	GET	update9/select?q=id:r1+OR+id:r2+OR+id:u2&fl=id,title&rows=20&sort=id+asc&wt=json		http://localhost:8992/solr
update_repeated_add_delete_between	200	POST	update9/update?wt=json	{"add":{"doc":{"id":"r3","body":"third","title":"charlie"}},"delete":{"id":"r3"},"add":{"doc":{"id":"r4","body":"fourth","title":"delta"}},"commit":{}}	http://localhost:8992/solr
update_select_after_repeated_add_delete_between	200	GET	update9/select?q=id:r3+OR+id:r4&fl=id,title&rows=20&sort=id+asc&wt=json		http://localhost:8992/solr
update_repeated_add_delete_before	200	POST	update9/update?wt=json	{"delete":{"id":"r4"},"add":{"doc":{"id":"r4","body":"re-added","title":"echo"}},"commit":{}}	http://localhost:8992/solr
update_select_after_repeated_add_delete_before	200	GET	update9/select?q=id:r4&fl=id,title&rows=20&sort=id+asc&wt=json		http://localhost:8992/solr
update_repeated_add_same_id	200	POST	update9/update?wt=json	{"add":{"doc":{"id":"r5","body":"same id first","title":"foxtrot"}},"add":{"doc":{"id":"r5","body":"same id second","title":"golf"}},"commit":{}}	http://localhost:8992/solr
update_select_after_repeated_add_same_id	200	GET	update9/select?q=id:r5&fl=id,title,body&wt=json		http://localhost:8992/solr
update_repeated_add_missing_doc	400	POST	update9/update?commit=true&wt=json	{"add":{"doc":{"id":"r6","body":"valid","title":"hotel"}},"add":{}}	http://localhost:8992/solr
update_select_after_repeated_add_missing_doc	200	GET	update9/select?q=id:r6&fl=id,title&wt=json		http://localhost:8992/solr
update_repeated_add_unknown_key	400	POST	update9/update?commit=true&wt=json	{"add":{"doc":{"id":"r7","body":"valid","title":"india"}},"add":{"doc":{"id":"r8","body":"valid","title":"juliett"}},"frobnicate":{}}	http://localhost:8992/solr
update_select_after_repeated_add_unknown_key	200	GET	update9/select?q=id:r7+OR+id:r8&fl=id,title&sort=id+asc&wt=json		http://localhost:8992/solr
omit_header_error_true	400	GET	content/select?q=nosuchfield:x&omitHeader=true&wt=json	
